data_reg_dt,displacement,enterprise,grade,mileage,modelname,rqno,year_oilprice
2026-06-08 12:00:01,1599,NULL,4,12,아반떼XD 1.6CVVT 5Door,401040163,1726738
2026-06-08 12:00:01,1599,NULL,3,14.1,아반떼XD 1.6CVVT 5Door,401040164,1469564
2026-06-08 12:00:01,3199,NULL,1,10,크로스파이어,401040165,2072085
2026-06-08 12:00:01,1991,NULL,1,14.6,스포티지2.0디젤2WD,401040166,1222243
2026-06-08 12:00:01,1991,NULL,2,13,스포티지2.0디젤2WD,401040167,1372673
2026-06-08 12:00:01,1991,NULL,1,14.1,스포티지2.0디젤4WD,401040168,1265585
2026-06-08 12:00:01,1975,NULL,4,10.4,투스카니 2.0CVVT,401040170,1992389
2026-06-08 12:00:01,1975,NULL,3,11.6,투스카니 2.0CVVT,401040171,1786280
2026-06-08 12:00:01,1975,NULL,3,12.5,투스카니 2.0CVVT,401040172,1657668
2026-06-08 12:00:01,5439,NULL,3,6.5,벤츠 E55AMG,401040173,3187823
2026-06-08 12:00:01,5513,벤츠,5,5.3,Maybach62,401040174,3909594
2026-06-08 12:00:01,999,NULL,000,15.5,모닝 1.0 SOHC,401040175,1336829
2026-06-08 12:00:01,999,NULL,000,18.3,모닝 1.0 SOHC,401040176,1132287
2026-06-08 12:00:26,1598,NULL,3,14.1,라세티 1.6D MT,401040184,1469564
2026-06-08 12:00:26,1399,NULL,1,18,클릭 하이브리드,401040186,1151158
2026-06-08 12:00:02,1599,NULL,2,14.7,프라이드 1.6 CVVT,401040220,1409582
2026-06-08 12:00:02,5733,NULL,5,5.1,포르쉐 카레라 GT,401040225,4062912
2026-06-08 12:00:02,3564,NULL,1,8.6,스테이츠맨3.6,401040229,2409401
2026-06-08 12:00:07,2696,NULL,1,10.9,로디우스 DI 9인승 4WD,401040230,1637133
2026-06-08 12:00:07,2696,NULL,2,9.7,로디우스 DI 9인승 4WD,401040231,1839665
2026-06-08 12:00:02,2494,NULL,5,7.1,BMW X3 2.5i,401050001,2918430
2026-06-08 12:00:05,2979,NULL,4,6.8,BMW X3 3.0i,401050002,3047184
2026-06-08 12:00:05,3564,NULL,5,7.6,캐딜락 STS (3.6L),401050003,2726428
2026-06-08 12:00:05,4565,NULL,5,6.8,캐딜락 STS (4.6L),401050004,3047184
2026-06-08 12:00:07,796,지엠대우,000,16.6,마티즈 0.8S AT,401050005,1248244
2026-06-08 12:00:07,1598,NULL,4,10.2,MINI Cooper S,401050006,2031456
2026-06-08 12:00:07,4293,NULL,4,8.9,렉서스 GS430,401050008,2328185
2026-06-08 12:00:07,2995,NULL,1,10.6,렉서스 GS300,401050009,1954797
2026-06-08 12:00:07,1998,NULL,3,12.3,SM5,401050010,1684622
2026-06-08 12:00:25,4196,재규어,5,7.4,재규어 XJ 4.2,401050011,2800115
2026-06-08 12:00:07,3498,NULL,2,8.2,벤츠 E350,401050014,2526933
2026-06-08 12:00:07,3498,NULL,2,7.8,벤츠 CLS350,401050015,2656519
2026-06-08 12:00:07,3498,NULL,1,9,인피니티 G35 Sedan,401050017,2302317
2026-06-08 12:00:07,3498,NULL,1,8.8,인피니티 G35 Coupe,401050018,2354642
2026-06-08 12:00:07,3498,NULL,5,8.1,인피니티 M35,401050019,2558130
2026-06-08 12:00:07,4494,NULL,5,7.3,인피니티 M45,401050020,2838473
2026-06-08 12:00:07,4494,NULL,5,8.1,인피니티 Q45,401050021,2558130
2026-06-08 12:00:07,1975,NULL,4,9.8,투싼 2.0 DOHC,401050025,2114372
2026-06-08 12:00:07,1975,NULL,3,11.1,투싼 2.0 DOHC,401050026,1866743
2026-06-08 12:00:07,1998,NULL,5,8.7,쏘나타 2.0 LPI,401050027,1363431
2026-06-08 12:00:07,1998,NULL,5,8.7,쏘나타 2.0 LPI,401050028,1363431
2026-06-08 12:00:07,1998,현대,4,10.4,쏘나타 2.0 LPI,401050029,1140563
2026-06-08 12:00:05,1995,NULL,3,10.8,BMW 320i,401050030,1918597
2026-06-08 12:00:07,2996,NULL,2,9.2,BMW 330i,401050032,2252266
2026-06-08 12:00:27,1493,NULL,1,20.5,프라이드 1.5 디젤 5DR,401050034,870476
2026-06-08 12:00:27,1493,NULL,1,16.9,프라이드 1.5 디젤 4DR,401050035,1055902
2026-06-08 12:00:27,1493,NULL,1,20.5,프라이드 1.5 디젤 4DR,401050036,870476
2026-06-08 12:00:27,1493,NULL,1,18.9,쎄라토 1.5 디젤 5DR,401050037,944167
2026-06-08 12:00:27,1493,NULL,2,16,쎄라토 1.5 디젤 5DR,401050038,1115297
