BRCD_NO,PRDT_NM,CMPNY_NM,PRDLST_REPORT_NO,PRDLST_NM,HRNK_PRDLST_NM,HTRK_PRDLST_NM,LAST_UPDT_DTM
8809135308867,(주)웰팜 생활N 블루베리 음료 20개입 100ml*20,(주)웰팜,20030445042196,과.채음료,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8809135305095,(주)웰팜 자연원 블루베리 음료(코드확인),(주)웰팜,20030445042196,과.채음료,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8809135305064,이마트베스트NFC100%오렌지주스,(주)웰팜,20030445042197,과.채주스,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8809135305088,이마트베스트100%토마토주스,(주)웰팜,20030445042198,과.채주스,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8809135305071,이마트베스트100%제주감귤주스,(주)웰팜,20030445042199,과.채주스,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8801016110040,샤니피넛소보루,(주)샤니,19710275003758,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801062144457,월드크래커500,롯데제과(주),1996024206767,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8808416021358,솔잎감식초,(주)광야식품,19830242017114,음료베이스,기타음료,가공식품,2015-01-22 11:12:12.0
8808416021068,솔잎감식초,(주)광야식품,19830242017114,음료베이스,기타음료,가공식품,2015-01-22 11:12:12.0
8808416021280,솔잎감식초(대)-100ML,(주)광야식품,19830242017114,음료베이스,기타음료,가공식품,2015-01-22 11:12:12.0
8801045013138,오뚜기 바몬드 카레 매운맛 100G x 1EA,(주)오뚜기,19720288002653,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045979212,카레매 20k,(주)오뚜기,19720288002655,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045010045,오뚜기 오뚜기)카레(매) 1000G x 1EA,(주)오뚜기,19720288002655,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045010137,오뚜기 카레 매운맛 100g(농협) 100G x 1EA,(주)오뚜기,19720288002655,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045018034,카레매 100*5,(주)오뚜기,19720288002655,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045100007,오뚜기카레순한맛1kg,(주)오뚜기,19720288002656,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045052113,오뚜기카레순한맛,(주)오뚜기,19720288002656,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045979199,카레순 20k,(주)오뚜기,19720288002656,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045010113,오뚜기 오뚜기카레순100g 100G x 1EA,(주)오뚜기,19720288002656,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045010007,오뚜기 오뚜기카레순한맛1KG - FOIL BAG,(주)오뚜기,19720288002656,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045013510,(주) 오뚜기 바몬드카레(순한맛) 1000G x 1EA,(주)오뚜기,19720288002657,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045013114,오뚜기 오뚜기바몬드카레순100G 100G x 1EA,(주)오뚜기,19720288002657,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045018041,바몬드카레순 100*5,(주)오뚜기,19720288002657,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045293318,3분하이스카레,(주)오뚜기,19720288002659,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8801045015101,오뚜기 하이스 카레 100G 100G x 1EA,(주)오뚜기,19720288002659,카레(커리)분,카레(커리),가공식품,2015-01-22 11:12:12.0
8809305500039,섬진강자연재첩수산 간e편한 섬진강재첩국 300G,섬진강자연재첩수산,200406211443,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809305500022,섬진강자연재첩수산 섬진강 헛개 재첩국 500G,섬진강자연재첩수산,200406211444,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809388770404,풍경 TEAFOOD 풍경간장 600ml,풍경티푸드,201206210978,한식간장,장류,가공식품,2015-01-22 11:12:12.0
8809125063141,퓨어플러스 유기농홍삼 120ml＊10 900G x 10EA,퓨어플러스(주),20020623009400,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809125063134,퓨어플러스 유기농홍삼 120ml 90G x 1EA,퓨어플러스(주),20020623009400,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809176470011,딸기아모르 90G,동원베이커리,1995055412566,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8803560040071,생칼국수1호 450G,송학식품,1991035514855,생면,면류,가공식품,2015-01-22 11:12:12.0
8803560040088,생칼국수1호 600G,송학식품,1991035514855,생면,면류,가공식품,2015-01-22 11:12:12.0
8803560050162,메밀국수 메밀가루30% 1KG,송학식품,1991035514858,건면,면류,가공식품,2015-01-22 11:12:12.0
8809346510127,찹쌀유과150g,다과,200903557034,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510134,찹쌀유과 700g,다과,200903557034,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510073,[다과] [찹쌀유과] [180g],다과,200903557034,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510028,다과 찹쌀유과 200G,다과,200903557034,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510059,[다과] [방울찹쌀유과] [60g],다과,200903557035,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510035,[다과] [현미땅콩강정] [100g],다과,200903557036,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809346510011,다과 현미땅콩강정 180G,다과,200903557036,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809171842097,(주)비트로시스 천년정성 산삼배양근액 골드,(주)비트로시스,2003055418812,액상차,다류,가공식품,2015-01-22 11:12:12.0
8802171100372,맑은이슬머금고자란오미자액,명진농장,1992040200575,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809106040055,산채만산채초절임혼합야채,강원에프앤비영농조합법인,2002040210211,절임식품,절임류,가공식품,2015-01-22 11:12:12.0
